Rank,Name,Wealth (in $1B USD),Country of Citizenship,Residence
375,Ennio Doris & family,2.5,Italy,Italy
376,Wesley Edens,2.5,United States,United States
377,David Filo,2.5,United States,United States
378,Leona Mindy Rosenthal Helmsley,2.5,United States,United States
379,Joachim Herz,2.5,Germany,Germany
380,Paul Tudor Jones II,2.5,United States,United States
381,Min Kao,2.5,United States,United States
382,Joseph Lewis,2.5,United Kingdom,Bahamas
383,T Boone Pickens,2.5,United States,United States
384,Richard Pratt,2.5,Australia,Australia
385,Richard Rainwater,2.5,United States,United States
386,Stephen Ross,2.5,United States,United States
387,Evgeny (Eugene) Shvidler,2.5,United States,United Kingdom
388,Ronda Stryker,2.5,United States,United States
389,John Whittaker,2.5,United Kingdom,United Kingdom
390,Gianluigi & Rafaela Aponte,2.4,Switzerland,Switzerland
391,Charles Bronfman,2.4,Canada,Canada
392,Dhanin Chearavanont & family,2.4,Thailand,Thailand
393,Yan Cheung,2.4,China,Hong Kong
394,Alexander Frolov,2.4,Russia,Russia
395,Victor Fung,2.4,United States,Hong Kong
396,William Fung,2.4,Hong Kong,Hong Kong
397,Filaret Galchev,2.4,Russia,Russia
398,Savitri Jindal & family,2.4,India,India
399,Mehmet Karamehmet,2.4,Turkey,Turkey
400,Liu Ming Chung,2.4,Brazil,Hong Kong
401,Alfred Mann,2.4,United States,United States
402,James Moran,2.4,United States,United States
403,Hermann Schnabel,2.4,Germany,Germany
404,Frederick Smith,2.4,United States,United States
405,John Sobrato,2.4,United States,United States
406,Tulsi Tanti,2.4,India,India
407,Peter Briger Jr,2.3,United States,United States
408,Subhash Chandra,2.3,India,India
409,Mark Cuban,2.3,United States,United States
410,Belmiro de Azevedo,2.3,Portugal,Portugal
411,Luis del Rivero,2.3,Spain,Spain
412,Yoshitaka Fukuda,2.3,Japan,Japan
413,Gordon Getty,2.3,United States,United States
414,Saad Hariri,2.3,Saudi Arabia,Saudi Arabia
415,Günter Herz,2.3,Germany,Germany
416,Nancy Walton Laurie,2.3,United States,United States
417,José Manuel Loureda,2.3,Spain,Spain
418,Mary Alice Dorrance Malone,2.3,United States,United States
419,Najib Mikati,2.3,Lebanon,Lebanon
420,Taha Mikati,2.3,Lebanon,Lebanon
421,Michael Novogratz,2.3,United States,United States
422,Stefano Pessina,2.3,Italy,Monaco
423,Didier Primat,2.3,France,Switzerland
424,Thomas Pritzker,2.3,United States,United States
425,J Joseph Ricketts & family,2.3,United States,United States
426,Michal Solowow,2.3,Poland,Poland
427,Lucio Tan,2.3,Philippines,Philippines
428,Glen Taylor,2.3,United States,United States
429,Olav Thon,2.3,Norway,Norway
430,Harry Triguboff,2.3,Australia,Australia
431,Wong Kwong Yu,2.3,China,China
432,John Abele,2.2,United States,United States
433,Emilio Botín,2.2,Spain,Spain
434,Charles Butt & family,2.2,United States,United States
435,John Caudwell,2.2,United Kingdom,United Kingdom
436,Chung Mong-Koo,2.2,South Korea,South Korea
437,John de Mol,2.2,Netherlands,Netherlands
438,Bennett Dorrance,2.2,United States,United States
439,Philippe Foriel-Destezet,2.2,France,United Kingdom
440,Donald Gordon,2.2,South Africa,United Kingdom
441,Bahaa Hariri,2.2,Switzerland,Switzerland
442,Daniela Herz,2.2,Germany,Germany
443,Jess Jackson,2.2,United States,United States
444,Uday Kotak,2.2,India,India
445,Marc Ladreit de Lacharrière,2.2,France,France
446,Bernard Marcus,2.2,United States,United States
447,Richard Marriott,2.2,United States,United States
448,Henry Nicholas III,2.2,United States,United States
449,Kazuo Okada & family,2.2,Japan,Japan
450,Roger Penske,2.2,United States,United States
451,Ernest Rady,2.2,United States,United States
