Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
461,Nicolas Berggruen,2.2,United States,investments,Investments
462,Pierre Bellon,2.2,France,food services,Service
463,"William Wrigley, Jr.",2.1,United States,chewing gum,Food and Beverage
464,Murat Ulker,2.1,Turkey,food manufacturing,Food and Beverage
465,Yitzhak Tshuva,2.1,Israel,real estate,Real Estate
466,Ferit Faik Sahenk,2.1,Turkey,bank and media,Finance
467,A. Jerrold Perenchio,2.1,United States,Univision,Media
468,Rubens Ometto Silveira Mello,2.1,Brazil,"sugar, ethanol",Energy
469,Sudhir & Samir Mehta,2.1,India,diversified,Diversified
470,Guilherme Peirao Leal,2.1,Brazil,cosmetics,Fashion and Retail
471,Jan Kulczyk,2.1,Poland,"telecom, oil, beer",Telecom
472,Winnie Johnson-Marquart,2.1,United States,SC Johnson & Sons,Manufacturing
473,Helen Johnson-Leipold,2.1,United States,SC Johnson & Sons,Manufacturing
474,S. Curtis Johnson,2.1,United States,SC Johnson & Sons,Manufacturing
475,Imogene Powers Johnson,2.1,United States,SC Johnson & Sons,Manufacturing
476,H. Fisk Johnson,2.1,United States,SC Johnson & Sons,Manufacturing
477,Mohammed Ibrahim,2.1,United Kingdom,communications,Telecom
478,H. Wayne Huizenga,2.1,United States,investments,Investments
479,Henry Hillman,2.1,United States,investments,Investments
480,Aliko Dangote,2.1,Nigeria,"sugar, flour, cement",Manufacturing
481,Chu Lam Yiu,2.1,Hong Kong,flavorings,Manufacturing
482,Dhanin Chearavanont,2.1,Thailand,agriculture,Diversified
483,Luciano Benetton,2.1,Italy,Benetton,Fashion and Retail
484,Giuliana Benetton,2.1,Italy,Benetton,Fashion and Retail
485,Gilberto Benetton,2.1,Italy,Benetton,Fashion and Retail
486,Carlo Benetton,2.1,Italy,Benetton,Fashion and Retail
487,Majid Al Futtaim,2.1,United Arab Emirates,"real estate, retail",Real Estate
488,Zhang Xin,2,China,Real Estate,Business
489,Cher Wang & Wenchi Chen,2,Taiwan,technology,Technology
490,Andreas von Bechtolsheim,2,Germany,Google,Technology
491,Donald Trump,2,United States,real estate,Real Estate
492,Tang Yiu,2,Hong Kong,shoes,Fashion and Retail
493,Keiichiro Takahara,2,Japan,personal care products,
494,Beny Steinmetz,2,Israel,"diamonds, real estate",Metals & Mining
495,Zygmunt Solorz-Zak,2,Poland,TV station,Media
496,Filiz Sahenk,2,Turkey,bank and media,Finance
497,Phillip Ruffin,2,United States,"casinos, real estate",Diversified
498,Georgina Rinehart,2,Australia,mining,Billionaire
499,"Robert Rich, Jr.",2,United States,Rich Products Corporation,Food and Beverage
500,Rajan Raheja,2,India,diversified,Diversified
501,Cyrus Poonawalla,2,India,biotech,Health care
502,Peter Peterson,2,United States,Blackstone Group,Investments
503,Gregorio Perez Companc,2,Argentina,food products,Food and Beverage
504,Philip Niarchos,2,Greece,art collection,Fashion and Retail
505,Shigenobu Nagamori,2,Japan,micro motors,Manufacturing
506,Michael Milken,2,United States,investments,Investments
507,Lin Yu-lin,2,Taiwan,real estate,Real Estate
508,Patrick Lee,2,Hong Kong,packaging,Manufacturing
509,Alexander Lebedev,2,Russia,"stocks, banking",Investments
510,Esther Koplowitz,2,Spain,construction,Construction & Engineering
511,Ihor Kolomoyskyy,2,Ukraine,"banking, investments",Diversified
512,"Jeremy Jacobs, Sr.",2,United States,sports concessions,Service
513,Martha Ingram,2,United States,Ingram Industries,Media
514,Erman Ilicak,2,Turkey,Construction,Construction & Engineering
515,Stanley Ho,2,Hong Kong,gaming,
516,Jeffrey Hildebrand,2,United States,Oil,Energy
517,Diane Hendricks,2,United States,ABC Supply,Manufacturing
518,Timothy Headington,2,United States,"oil & gas, investments",Energy
519,Yusuf Hamied,2,India,generic drugs,Health care
520,Bruce Halle,2,United States,Discount Tire,Automotive
521,Bill Gross,2,United States,bonds,Finance
522,Ken Griffin,2,United States,hedge funds,Investments
523,Jeff Greene,2,United States,"real estate, investments",Real Estate
524,Gordon Getty,2,United States,"inheritance, oil",Energy
525,Robert Friedland,2,United States,mining,Metals & Mining
526,Philippe Foriel-Destezet,2,France,temp agency,Service
527,Philip Falcone,2,United States,hedge funds,Investments
528,Gustaf Douglas,2,Sweden,security,Service
529,Bennett Dorrance,2,United States,inheritance,Food and Beverage
530,John de Mol,2,Netherlands,TV,Media
531,Jack Dangermond,2,United States,mapping software,Technology
532,Charles Bronfman,2,Canada,liquor,Food and Beverage
533,Sid Bass,2,United States,"oil, investments",Energy
534,Lee Bass,2,United States,"oil, investments",Energy
535,Ali Ibrahim Agaoglu,2,Turkey,construction,Construction & Engineering
536,Albert Ueltschi,1.9,United States,FlightSafety,Service
537,Gennady Timchenko,1.9,Russia,oil trading,Energy
538,Sukanto Tanoto,1.9,Indonesia,"paper, palm oil",Diversified
539,"Walter Scott, Jr.",1.9,United States,"construction, telecom",Technology
540,Stewart Rahr,1.9,United States,Kinray,Health care
541,Florentino Perez,1.9,Spain,construction,Construction & Engineering
542,Vincent Lo,1.9,Hong Kong,real estate,Real Estate
543,Jay Y. Lee,1.9,South Korea,Samsung,Technology
544,Michael Jaharis,1.9,United States,pharmaceuticals,Health care
545,Jess Jackson,1.9,United States,Jackson Family Wines,Service
546,Masatoshi Ito,1.9,Japan,retail,Fashion and Retail
547,Saad Hariri,1.9,Lebanon,"construction, investments",Construction & Engineering
548,Andrei Guriev,1.9,Russia,fertilizers,Manufacturing
549,Jean-Claude Gandur,1.9,Switzerland,"oil trading, exploration",Energy
550,Ennio Doris,1.9,Italy,insurance,Finance
551,Cho Tak Wong,1.9,Hong Kong,Manufacturing,Manufacturing
552,Chen Yihong,1.9,China,Retail,Fashion & Retail
553,Alan Casden,1.9,United States,real estate,Real Estate
554,Thomas Bruch,1.9,Germany,food retailing,Fashion and Retail
555,David Bonderman,1.9,United States,leveraged buyouts,Investments
556,Zhang Li,1.8,China,Real estate,Real Estate
557,Stefan von Holtzbrinck,1.8,Germany,publishing,Media
558,Ted Turner,1.8,United States,cable television,Media
559,Katsumi Tada,1.8,Japan,real estate,Real Estate
560,Sylvia Stroher,1.8,Germany,cosmetics,Fashion and Retail
561,Frederick Smith,1.8,United States,FedEx,Logistics
562,Monika Schoeller,1.8,Germany,publishing,Media
563,"Wilbur Ross, Jr.",1.8,United States,investments,Investments
564,Kjell Inge Rokke,1.8,Norway,"shipping, seafood",Logistics
565,Or Wai Sheun,1.8,Hong Kong,real estate,Real Estate
566,Manuel Moroun,1.8,United States,Transportation,Logistics
567,Andrei Molchanov,1.8,Russia,"construction materials, construction",Construction & Engineering
568,Li Sze Lim,1.8,Hong Kong,real estate,Real Estate
569,Li Shufu,1.8,China,autos,Automotive
570,Jerry Jones,1.8,United States,Dallas Cowboys,Sports
571,Alan Howard,1.8,United Kingdom,hedge funds,Investments
572,"William Randolph Hearst, III.",1.8,United States,Hearst Corp,Media
573,Han Chang-Woo,1.8,Japan,gaming,Gaming
574,Fred DeLuca,1.8,United States,Subway,Food and Beverage
575,Jim Davis,1.8,United States,New Balance,Manufacturing
576,John Caudwell,1.8,United Kingdom,mobile phones,Telecom
577,Peter Buck,1.8,United States,Subway,Food and Beverage
578,Edward Bass,1.8,United States,"oil, investments",Energy
579,Nadhmi Auchi,1.8,United Kingdom,real estate,Real Estate
580,Jose Maria Aristrain,1.8,Spain,steel,Metals & Mining
581,John Anderson,1.8,United States,investments,Investments
582,Zhou Furen,1.7,China,Manufacturing,Diversified
583,Zhang Zhixiang,1.7,China,Manufacturing,Metals & Mining
584,Zhang Guiping,1.7,China,Real Estate,Real Estate
585,Dean White,1.7,United States,"billboards, hotels",Service
586,Martin Viessmann,1.7,Germany,heating equipment,Manufacturing
587,T.Y. Tsai,1.7,Taiwan,finance,Finance
588,Tsai Hong-tu,1.7,Taiwan,Finance,Finance
589,Tsai Cheng-da,1.7,Taiwan,finance,Finance
590,Lucio Tan,1.7,Philippines,diversified,Diversified
591,Jon Stryker,1.7,United States,Stryker Corp.,Health care
592,Jerry Speyer,1.7,United States,real estate,Real Estate
593,"Clemmie Spangler, Jr.",1.7,United States,investments,Investments
594,Sheldon Solow,1.7,United States,real estate,Real Estate
595,Thomas Siebel,1.7,United States,Siebel Systems,Technology
596,Melker Schorling,1.7,Sweden,investments,Investments
597,Henry Samueli,1.7,United States,Broadcom,Technology
598,Axel Oberwelland,1.7,Germany,candy,Food and Beverage
599,Charles Munger,1.7,United States,Berkshire Hathaway,Investments
600,Clayton Mathile,1.7,United States,Iams,Food and Beverage
601,Friedhelm Loh,1.7,Germany,manufacturing,Manufacturing
602,Liu Ming Chung,1.7,Brazil,paper manufacturing,Manufacturing
603,Carl Lindner Jr,1.7,United States,investments,Sports
604,Marianne Liebmann,1.7,United States,"Cargill, Inc.",Food and Beverage
605,Baba Kalyani,1.7,India,engineering,Construction & Engineering
606,Hans-Werner Hector,1.7,Germany,SAP,Technology
607,Israel Englander,1.7,United States,hedge funds,Investments
608,John Doerr,1.7,United States,venture capital,Technology
609,Yan Cheung,1.7,China,paper,Manufacturing
610,Mary Janet Cargill,1.7,United States,Cargill Inc.,Service
611,"James Cargill, II.",1.7,United States,Cargill Inc.,Food and Beverage
612,"Austen Cargill, II.",1.7,United States,Cargill Inc.,Food and Beverage
613,Emilio Botin,1.7,Spain,banking,Finance
614,Henadiy Boholyubov,1.7,Ukraine,"banking, investments",Diversified
615,Semahat Sevim Arsel,1.7,Turkey,diversified,Diversified
616,Mortimer Zuckerman,1.6,United States,"real estate, media",Real Estate
617,Zhong Sheng Jian,1.6,Singapore,real estate,Real Estate
618,Steve Wynn,1.6,United States,"casinos, hotels",Gaming
619,John Whittaker,1.6,United Kingdom,real estate,Real Estate
620,Georg von Opel,1.6,Germany,automotive,Investments
621,Tsai Ming-kai,1.6,Taiwan,Semiconductors,Technology
622,Wilma Tisch,1.6,United States,Loews,Investments
623,Gautam Thapar,1.6,India,"engineering, paper",Construction & Engineering
624,Shin Chang-Jae,1.6,South Korea,Insurance,Finance
625,Shi Yuzhu,1.6,China,online gaming,Diversified
626,Leandro Rizzuto,1.6,United States,Conair,Manufacturing
627,Hans Riegel,1.6,Germany,candy,Food and Beverage
628,Trevor Rees-Jones,1.6,United States,Oil & Gas,Energy
629,Thomas Pritzker,1.6,United States,"hotels, investments",Investments
630,Isaac Perlmutter,1.6,United States,Marvel,Media
631,Marilyn Carlson Nelson,1.6,United States,Carlson Cos,Service
632,N.R. Narayana Murthy,1.6,India,software,Technology
633,John Morgridge,1.6,United States,Cisco,Technology
634,Craig McCaw,1.6,United States,McCaw Cellular,Media
635,Luo Jye,1.6,Taiwan,manufacturing,Manufacturing
636,Mustafa Rahmi Koc,1.6,Turkey,diversified,Diversified
637,Min Kao,1.6,United States,navigation equipment,Manufacturing
638,Marguerite Harbert,1.6,United States,inheritance,Energy
639,Alec Gores,1.6,United States,private equity,Investments
640,Rolf Gerling,1.6,Germany,insurance,Finance
641,Barbara Carlson Gage,1.6,United States,Carlson Cos.,Service
642,Gleb Fetisov,1.6,Russia,"telecom, finance",Telecom
643,Richard Desmond,1.6,United Kingdom,publishing,Media
644,Dermot Desmond,1.6,Ireland,finance,Finance
645,Chung Mong-Joon,1.6,South Korea,"manufacturing, shipbuilding",Manufacturing
646,Francis Choi,1.6,Hong Kong,"real estate, toys",Real Estate
647,David Cheriton,1.6,Canada,Google,Technology
648,John Catsimatidis,1.6,United States,"oil, real estate, supermarkets",Energy
649,Mikhail Balakin,1.6,Russia,construction,Construction & Engineering
650,Vasily Anisimov,1.6,Russia,"metals, real estate",Metals & Mining
651,Dmitry Ananyev,1.6,Russia,"banking, IT, real estate",Diversified
652,Alexei Ananyev,1.6,Russia,"banking, IT, real estate",Diversified
653,Joao Alves de Queiroz Filho,1.6,Brazil,consumer goods,Manufacturing
654,S. Daniel Abraham,1.6,United States,Slim-Fast,Food and Beverage
655,Ahmet Nazif Zorlu,1.5,Turkey,electronics,Diversified
656,Zhang Zhidong,1.5,China,Internet,Technology
657,Arne Wilhelmsen,1.5,Norway,Royal Caribbean,Logistics
658,Kelcy Warren,1.5,United States,Pipelines,Energy
659,Klaus Tschira,1.5,Germany,SAP,Technology
660,Alfred Taubman,1.5,United States,real estate,Real Estate
661,Pat Stryker,1.5,United States,Stryker Corp,Health care
662,Kavitark Ram Shriram,1.5,United States,"Venture capital, Google",Technology
663,Shin Dong-Joo,1.5,South Korea,"retail, food",Fashion and Retail
664,Shin Dong-Bin,1.5,South Korea,"retail, food",Fashion and Retail
665,Shen Guojun,1.5,China,Real Estate,Fashion and Retail
666,Lynn Schusterman,1.5,United States,"oil & gas, investments",Energy
667,Samih Sawiris,1.5,Egypt,hotels,Service
668,"Edward Roski, Jr.",1.5,United States,real estate,Real Estate
669,Jude Reyes,1.5,United States,Reyes Holdings,Food and Beverage
670,J. Christopher Reyes,1.5,United States,Reyes Holdings,Food and Beverage
671,Chandru Raheja,1.5,India,real estate,Real Estate
672,Richard Peery,1.5,United States,real estate,Real Estate
673,Pankaj Patel,1.5,India,pharmaceuticals,Health care
674,Igor Olenicoff,1.5,United States,real estate,Real Estate
675,"Henry Nicholas, III.",1.5,United States,Broadcom,Technology
676,Martin Naughton,1.5,Ireland,heating equipment,Manufacturing
677,Michael Moritz,1.5,United States,venture capital,Technology
678,"Drayton McLane, Jr.",1.5,United States,"Wal-Mart, logistics",Fashion and Retail
679,Bernard Marcus,1.5,United States,Home Depot,Fashion and Retail
680,"Stephen Mandel, Jr.",1.5,United States,hedge funds,Investments
681,Alexander Mamut,1.5,Russia,investments,Investments
682,Fredrik Lundberg,1.5,Sweden,"real estate, investments",Real Estate
683,Niels Peter Louis-Hansen,1.5,Denmark,medical devices,Health care
684,George Lindemann,1.5,United States,investments,Investments
685,Peter Lim,1.5,Singapore,investments,Investments
686,Lev Leviev,1.5,Israel,diamonds,Metals & Mining
687,Robert Kraft,1.5,United States,New England Patriots,Sports
688,Randal Kirk,1.5,United States,pharmaceuticals,Health care
689,Brad Kelley,1.5,United States,tobacco,Real Estate
690,Stephen Jarislowsky,1.5,Canada,asset management,Finance
691,"Joe Jamail, Jr.",1.5,United States,lawsuits,Service
692,Michael & Marian Ilitch,1.5,United States,pizza,Food and Beverage
693,Stanley Hubbard,1.5,United States,DirecTV,Media
694,"Michael Heisley, Sr.",1.5,United States,manufacturing,Manufacturing
695,"George Hearst, Jr.",1.5,United States,Hearst Corp,Media
696,"David Hearst, Jr.",1.5,United States,Hearst Corp,Media
697,Austin Hearst,1.5,United States,Hearst Corp,Media
698,Joshua Harris,1.5,United States,leveraged buyouts,Investments
699,Desh Bandhu Gupta,1.5,India,pharmaceuticals,Health care
700,Esther Grether,1.5,Switzerland,"art collection,Swatch",Fashion and Retail
701,David Gottesman,1.5,United States,investments,Investments
702,Lindsay Fox,1.5,Australia,logistics,Logistics
703,James Dinan,1.5,United States,hedge funds,Investments
704,Belmiro de Azevedo,1.5,Portugal,diversified,Diversified
705,James Coulter,1.5,United States,leveraged buyouts,Investments
706,Leon G. Cooperman,1.5,United States,hedge funds,Investments
707,Phoebe Hearst Cooke,1.5,United States,Hearst Corp,Media
708,William Connor II,1.5,United States,supply-chain services,Logistics
709,S. Truett Cathy,1.5,United States,Chick-fil-A,Food and Beverage
710,Francesco Gaetano Caltagirone,1.5,Italy,"cement, diversified",Construction & Engineering
711,Charles Brandes,1.5,United States,money management,Investments
712,Neil Bluhm,1.5,United States,real estate,Real Estate
713,Stephen Bisciotti,1.5,United States,"outsourcing, football",Sports
714,Enrique Banuelos,1.5,Spain,real estate,Real Estate
715,Louis Bacon,1.5,United States,hedge funds,Investments
716,Emilio Azcarraga Jean,1.5,Mexico,media,Media
717,Michael Ashley,1.5,United Kingdom,sports retailing,Fashion and Retail
718,George Argyros,1.5,United States,"real estate, investments",Real Estate
719,Syed Mokhtar AlBukhary,1.5,Malaysia,diversified,Diversified
720,Mohammed Al Rajhi,1.5,Saudi Arabia,banking,Finance
721,Zhu Gongshan,1.4,China,Energy,Energy
722,Kamil Yazici,1.4,Turkey,beverages,Food and Beverage
723,Romesh T. Wadhwani,1.4,United States,Software,Technology
724,Roustam Tariko,1.4,Russia,"banking, vodka",Finance
725,Yoshikazu Tanaka,1.4,Japan,social networking,Technology
726,Thomas Straumann,1.4,Switzerland,dental implants,Health care
727,Ralph Sonnenberg,1.4,Netherlands,blinds,Manufacturing
728,Helmut Sohmen,1.4,Austria,shipping,Logistics
729,Andrei Skoch,1.4,Russia,metals,Metals & Mining
730,Shen Wenrong,1.4,China,Steel,Metals & Mining
731,Tamir Sapir,1.4,United States,real estate,Real Estate
732,Patrick Ryan,1.4,United States,insurance,Finance
733,Alexander Rovt,1.4,United States,fertilizer,Manufacturing
734,Megdet Rahimkulov,1.4,Russia,investments,Investments
735,Penny Pritzker,1.4,United States,"hotels, investments",Investments
736,Jay Robert (J.B.) Pritzker,1.4,United States,"hotels, investments",Investments
737,Anthony Pritzker,1.4,United States,"hotels, investments",Service
738,Michael Price,1.4,United States,investments,Investments
739,Thomas Peterffy,1.4,United States,Interactive Brokers Group,Investments
740,Stefano Pessina,1.4,Italy,pharmaceuticals,Health care
741,"Henry Ross Perot, Jr.",1.4,United States,"computer services, real estate",Technology
742,Nandan Nilekani,1.4,India,software,Technology
743,Alexander Nesis,1.4,Russia,"banking, metals",Investments
744,Jonathan Nelson,1.4,United States,Leveraged buyouts,Investments
745,Minoru Mori,1.4,Japan,real estate,Real Estate
746,Robert McNair,1.4,United States,"energy, sports",Sports
747,Alfred Mann,1.4,United States,medical devices,Health care
748,Lui Che Woo,1.4,Hong Kong,"construction, gaming",Gaming
749,Lee Myung-Hee,1.4,South Korea,retail,Fashion and Retail
750,Marc Lasry,1.4,United States,hedge funds,Investments
751,Suna Kirac,1.4,Turkey,diversified,Diversified
752,James Kim,1.4,United States,microchips,Technology
753,Daryl Katz,1.4,Canada,pharmacies,Fashion and Retail
754,James Irsay,1.4,United States,Indianapolis Colts,Sports
755,Fahd Hariri,1.4,Lebanon,"construction, investments",Construction & Engineering
756,Ayman Hariri,1.4,Saudi Arabia,"construction, investments",Construction & Engineering
757,Tom Golisano,1.4,United States,Paychex,Service
758,Jaiprakash Gaur,1.4,India,diversified,
759,Soichiro Fukutake,1.4,Japan,education,Service
760,Thomas Friedkin,1.4,United States,Gulf States Toyota,Automotive
761,Ken Fisher,1.4,United States,Money management,Investments
762,David Filo,1.4,United States,Yahoo,Technology
763,Michael Federmann,1.4,Israel,"defense, hotels",Technology
764,Fang Wei,1.4,China,Manufacturing,Manufacturing
765,N. Murray Edwards,1.4,Canada,oil & gas,Energy
766,Bharat Desai,1.4,United States,Syntel,Technology
767,Leszek Czarnecki,1.4,Poland,"leasing, banking",Finance
768,Mark Coombs,1.4,United Kingdom,finance,Finance
769,Ramesh Chandra,1.4,India,real estate,Real Estate
770,Heinz Bauer,1.4,Germany,publishing,Media
771,Ron Baron,1.4,United States,money managment,Investments
772,John Arrillaga,1.4,United States,real estate,Real Estate
773,Jerry Yang,1.3,United States,Yahoo,Technology
774,Meg Whitman,1.3,United States,Ebay,Technology
775,Wang Jiufang,1.3,China,real estate,Real Estate
776,Joop van den Ende,1.3,Netherlands,TV,Media
777,Peter Unger,1.3,Germany,auto repair,Automotive
778,Tong Jinquan,1.3,China,Real Estate,Real Estate
779,Sun Guangxin,1.3,China,Energy,Diversified
780,John Sperling,1.3,United States,Apollo Group,Service
781,Alexander Shnaider,1.3,Canada,steel,
782,Eduard Shifrin,1.3,United Kingdom,steel,
783,Clayton Riddell,1.3,Canada,oil & gas,Energy
784,Qi Jinxing,1.3,China,Real Estate,Real Estate
785,Linda Pritzker,1.3,United States,"hotels, investments",Service
786,Karen Pritzker,1.3,United States,"hotels, investments",Service
787,John Pritzker,1.3,United States,"hotels, investments",Investments
788,Jean (Gigi) Pritzker,1.3,United States,"hotels, investments",Service
789,James Pritzker,1.3,United States,"hotels, investments",Service
790,Daniel Pritzker,1.3,United States,"hotels, investments",Service
791,Roger Penske,1.3,United States,cars,Automotive
792,Tuncay Ozilhan,1.3,Turkey,beverages,Food and Beverage
793,Kenneth Morrison,1.3,United Kingdom,supermarkets,Fashion and Retail
794,Gary Michelson,1.3,United States,medical patents,Health care
795,Billy Joe (Red) McCombs,1.3,United States,"radio, oil, real estate",Media
796,Richard Marriott,1.3,United States,hotels,Service
797,"Bill Marriott, Jr.",1.3,United States,hotels,Service
798,Joe Mansueto,1.3,United States,Morningstar,Media
799,Anatoly Lomakin,1.3,Russia,fertilizers,Metals & Mining
800,Lin Xiucheng,1.3,China,Manufacturing,Technology
801,Richard Li,1.3,Hong Kong,telecom,Telecom
802,Lev Kvetnoi,1.3,Russia,"cement, airport",Investments
803,Pyotr Kondrashev,1.3,Russia,fertilizers,Manufacturing
804,Vyacheslav Kantor,1.3,Russia,"fertilizer, real estate",Manufacturing
805,Ryoichi Jinnai,1.3,Japan,credit,Finance and Investments
806,Huang Wei,1.3,China,Real estate,Real Estate
807,Antti Herlin,1.3,Finland,"elevators, escalators",Manufacturing
808,Richard Hayne,1.3,United States,Urban Outfitters,Fashion and Retail
809,Gerald Harvey,1.3,Australia,retail,Fashion and Retail
810,Senapathy Gopalakrishnan,1.3,India,software,Technology
811,Christopher Goldsbury,1.3,United States,salsa,Food and Beverage
812,Rama Prasad Goenka,1.3,India,diversified,Diversified
813,Gerald J. Ford,1.3,United States,banking,Investments
814,Bulent Eczacibasi,1.3,Turkey,pharmaceuticals,Health care
815,Glenn Dubin,1.3,United States,hedge funds,Investments
816,Ralph Dommermuth,1.3,Germany,internet service provider,Technology
817,"Edward DeBartolo, Jr.",1.3,United States,shopping centers,Real Estate
818,Chung Eui-Sun,1.3,South Korea,Hyundai,Automotive
819,Chu Mang Yee,1.3,China,Real estate,Real Estate
820,Richard Chilton Jr,1.3,United States,hedge funds,Investments
821,Leon Charney,1.3,United States,Real estate,Real Estate
822,Norman Braman,1.3,United States,"art, car dealerships",Automotive
823,Arthur Blank,1.3,United States,Home Depot,Sports
824,Carl Berg,1.3,United States,real estate,Real Estate
825,Marc Benioff,1.3,United States,Salesforce.com,Technology
826,Mehmet Rustu Basaran,1.3,Turkey,gas and steel,Finance
827,Edmund Ansin,1.3,United States,Sunbeam Broadcasting,Media
828,Kostyantin Zhevago,1.2,Ukraine,"banking, mining",Metals & Mining
829,Zhang Cheng Fei,1.2,China,paper,Manufacturing
830,Ye Chenghai,1.2,Hong Kong,pharmaceuticals,Health care
831,Charlotte Colket Weber,1.2,United States,inheritance,Food and Beverage
832,Todd Wagner,1.2,United States,Broadcast.com,Media
833,Dieter von Holtzbrinck,1.2,Germany,publishing,
834,Peter Thiel,1.2,United States,"Paypal, Facebook",Investments
835,Mehmet Sinan Tara,1.2,Turkey,construction,Construction & Engineering
836,Vincent Tan,1.2,Malaysia,diversified,Diversified
837,Peter Sperling,1.2,United States,Apollo Group,Service
838,Evgeny (Eugene) Shvidler,1.2,United States,Millhouse LLC,Energy
839,Thomas Secunda,1.2,United States,Bloomberg,Media
840,Richard Scaife,1.2,United States,investments,Investments
841,"Bernard Saul, II.",1.2,United States,"banking, real estate",Investments
842,Lily Safra,1.2,Monaco,inheritance,Finance
843,Marc Rowan,1.2,United States,leveraged buyouts,Investments
844,Ural Rakhimov,1.2,Russia,oil,
845,Vikas Oberoi,1.2,India,real estate,Real Estate
846,Malone Mitchell,1.2,United States,oil & gas,Energy
847,Jack Ma,1.2,China,Internet,Technology
848,Low Tuck Kwong,1.2,Indonesia,coal,Energy
849,Lin Li,1.2,China,insurance,Investments
850,Thomas Lee,1.2,United States,leveraged buyouts,Investments
851,Andrei Kozitsyn,1.2,Russia,metals,Metals & Mining
852,Danil Khachaturov,1.2,Russia,"Insurance, banking, real estate",Finance
853,Igor Kesaev,1.2,Russia,"tobacco distribution, retail",Fashion and Retail
854,Anand Jain,1.2,India,diversified,
855,Irwin Jacobs,1.2,United States,Qualcomm,Technology
856,Vladimir Iorich,1.2,Germany,"mining, steel",Metals & Mining
857,Johnelle Hunt,1.2,United States,transportation,Logistics
858,Huang Maoru,1.2,Belize,Retail,Fashion & Retail
859,Ingeburg Herz,1.2,Germany,coffee,Fashion and Retail
860,Roberto Hernandez Ramirez,1.2,Mexico,banking,Finance
861,He Jinming,1.2,China,"Real estate, retail",Fashion & Retail
862,Jayme Garfinkel,1.2,Brazil,insurance,Finance
863,Gao Dekang,1.2,China,Apparel,Fashion and Retail
864,Tetsuro Funai,1.2,Japan,electronics,Manufacturing
865,Faruk Eczacibasi,1.2,Turkey,pharmaceuticals,Health care
866,David Duffield,1.2,United States,PeopleSoft,Technology
867,Du Shuanghua,1.2,China,Manufacturing,
868,Lloyd Dorfman,1.2,United Kingdom,finance,
869,Barry Diller,1.2,United States,IAC/InterActiveCorp,Media
870,Ray Davis,1.2,United States,Pipelines,Energy
871,Jean Coutu,1.2,Canada,pharmacies,Fashion and Retail
872,Alberto Cortina,1.2,Spain,investments,Investments
873,Alfred James Clark,1.2,United States,Construction,Construction & Engineering
874,Chen Tianqiao,1.2,China,Online games,Technology
875,Chen Jinxia,1.2,China,Diversified,Investments
876,Chao Teng-Hsiung,1.2,Taiwan,real estate,Real Estate
877,Zdenek Bakala,1.2,Czech Republic,RPG Industries,Energy
878,Alberto Alcocer,1.2,Spain,investments,Investments
879,Juan Abello,1.2,Spain,investments,Investments
880,Zhang Hongwei,1.1,China,Diversified,Diversified
881,Yao Juhuo,1.1,China,Coal,Energy
882,Allan Wong,1.1,Hong Kong,electronics,Manufacturing
883,Wang Wenjing,1.1,China,Software,Technology
884,Hope Hill van Beuren,1.1,United States,inheritance,Food and Beverage
885,Kenny Troutt,1.1,United States,Excel Communications,Telecom
886,Henry Swieca,1.1,United States,hedge funds,Investments
887,Nurzhan Subkhanberdin,1.1,Kazakhstan,Banking,Finance
888,George Steinbrenner III,1.1,United States,New York Yankees,Sports
889,Alexander Spanos,1.1,United States,real estate,Sports
890,Dan Snyder,1.1,United States,Washington Redskins,Sports
891,Alexander Skorobogatko,1.1,Russia,port,Logistics
892,Herbert Simon,1.1,United States,real estate,Real Estate
893,Walter Shorenstein,1.1,United States,real estate,Real Estate
894,Anatoly Sedykh,1.1,Russia,steel pipes,Metals & Mining
895,Thomas Sandell,1.1,Sweden,Hedge funds,Investments
896,David Sainsbury,1.1,United Kingdom,supermarkets,Fashion and Retail
897,Alexander Ponomarenko,1.1,Russia,port,Logistics
898,T. Boone Pickens,1.1,United States,"oil & gas, investments",Energy
899,Nelson Peltz,1.1,United States,investments,Investments
900,Ahsen Ozokur,1.1,Turkey,food manufacturing,Food and Beverage
901,Ioan Niculae,1.1,Romania,agriculture,
902,William Moncrief Jr,1.1,United States,oil,Energy
903,Gary Magness,1.1,United States,"cable, investments",Media
904,William Macaulay,1.1,United States,energy investments,Energy
905,Lei Jufang,1.1,China,Manufacturing,Health care
906,Marc Ladreit de Lacharriere,1.1,France,financial services,Finance
907,Dinara Kulibaeva,1.1,Kazakhstan,banking,Finance
908,Timur Kulibaev,1.1,Kazakhstan,banking,Finance
909,Koo Bon-Moo,1.1,South Korea,electronics,Diversified
910,Alexander Knaster,1.1,United States,"oil, telecom, banking",Investments
911,Vinod Khosla,1.1,United States,"Sun Microsystems, venture capital",Technology
912,Ke Xiping & wife,1.1,China,Mining,
913,Hamilton James,1.1,United States,Blackstone Group,Investments
914,Michael Hintze,1.1,Australia,hedge funds,Finance
915,He Zhusheng,1.1,China,Minerals,
916,Mubariz Gurbanoglu,1.1,Turkey,shipping,Logistics
917,Albert Gubay,1.1,United Kingdom,real estate,
918,Vinod Goenka,1.1,India,real estate,
919,Alan Gerry,1.1,United States,cable television,Media
920,Ted Forstmann,1.1,United States,leveraged buyouts,Investments
